year,cve_count,fixed_cve_count
1988.0,2,0
1989.0,3,0
1990.0,11,0
1991.0,15,0
1992.0,13,0
1993.0,13,0
1994.0,25,0
1995.0,25,0
1996.0,74,0
1997.0,252,0
1998.0,246,0
1999.0,894,3
2000.0,1019,2
2001.0,1676,7
2002.0,2156,3
2003.0,1527,1
2004.0,2451,6
2005.0,4932,30
2006.0,6608,73
2007.0,6516,95
2008.0,5632,138
2009.0,5732,197
2010.0,4639,347
2011.0,4150,479
2012.0,5288,556
2013.0,5187,771
2014.0,7928,1043
2015.0,6494,1172
2016.0,6449,1747
2017.0,14642,2529
2018.0,16510,2629
2019.0,17305,3236
2020.0,18322,3402
2021.0,20150,3980
2022.0,25074,4726
2023.0,28819,4405
2024.0,35667,2684
