score,count
1337,20701
234,1
230,6
226,9
220,2
218,8
214,8
212,1
210,12
206,13
204,2
202,14
200,2
198,8
196,2
194,22
192,4
190,17
188,6
186,27
184,7
182,32
180,4
178,23
176,7
174,35
172,7
170,39
168,11
166,45
164,24
162,60
160,73
158,45
156,50
154,105
152,120
150,81
148,107
146,66
144,78
142,90
140,84
138,105
136,76
134,117
132,92
130,119
128,55
126,116
124,56
122,268
120,58
118,430
116,64
114,463
112,57
110,534
108,99
106,729
104,91
102,762
100,218
98,1030
96,546
94,165
92,401
90,823
88,1049
86,511
84,960
82,782
80,1044
78,638
76,1147
74,1006
72,1645
70,953
68,1607
66,1156
64,1912
62,32
60,47
58,193
56,50
54,290
52,72
50,387
48,69
46,622
44,178
42,982
40,305
38,1554
36,1983
34,5069
32,5787
30,2327
28,7010
26,15633
24,23169
22,19307
20,30330
18,26451
16,31833
14,29480
12,44395
10,54898
8,43443
6,28310
4,22198
2,24476
